Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,754,2399,124,21069,5630.26,12.202%,12.49959,5.62,1.63,460.8
/user_info_2,718,3117,124,21071,6712.78,15.042%,11.92850,8.69,2.46,746.3
/user_info_3,694,3012,124,21072,6303.30,16.859%,11.55376,7.42,2.34,657.6
/object_info_1,645,3194,125,21063,6591.94,15.504%,10.76363,6.17,1.47,587.3
/object_info_2,616,3104,125,21073,6408.79,16.558%,10.30410,7.77,1.40,771.7
/object_info_3,577,4016,124,21065,7414.24,20.277%,9.67650,7.59,1.26,803.1
/object_info_4,547,3696,126,21070,6853.40,20.110%,9.19359,6.18,1.20,688.1
TOTAL,4551,3175,124,21073,6555.92,16.392%,75.44386,49.11,11.68,666.6
