Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,223,1939,124,21070,5377.55,8.520%,3.66427,1.34,0.50,374.8
/user_info_2,219,1998,123,21067,5351.55,9.589%,3.60607,2.19,0.79,620.7
/user_info_3,212,2106,125,21067,5517.43,10.377%,3.49904,1.74,0.76,508.7
/object_info_1,205,2068,123,21051,5372.69,10.244%,3.39118,1.51,0.49,457.1
/object_info_2,197,2127,124,21053,5531.23,10.660%,3.26554,2.05,0.48,642.7
/object_info_3,190,2399,123,21067,5890.34,12.632%,3.15662,1.92,0.45,622.2
/object_info_4,181,2225,125,21061,5497.92,11.050%,3.01355,1.38,0.44,469.7
TOTAL,1427,2115,123,21070,5502.77,10.371%,23.44803,12.05,3.88,526.2
