Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,1069,4511,123,21294,7902.99,23.293%,13.91728,10.08,1.58,741.9
/user_info_2,1009,5595,124,21303,8628.87,28.642%,13.15772,13.54,2.28,1054.0
/user_info_3,952,6196,126,21284,8946.65,31.618%,12.43697,12.43,2.07,1023.5
/object_info_1,898,6526,126,21313,8980.91,35.857%,11.75362,12.45,1.21,1084.8
/object_info_2,816,6280,125,21315,8772.81,37.255%,10.69925,12.88,1.09,1233.1
/object_info_3,714,6248,125,21252,8761.16,35.014%,9.37857,10.44,0.99,1139.9
/object_info_4,639,6385,124,21319,8825.91,36.463%,8.40978,8.96,0.87,1090.6
TOTAL,6097,5887,123,21319,8694.06,31.950%,79.37665,80.38,10.07,1036.9
